product_name,rating,message
[COD] Headset Bluetooth Nirkabel TWS CID17 dengan Mikrofon dan Pengisian Casing Elektronik Audio Headset Wireless Earphone - PINK,3.0,"Kejernihan lensa: Lumayan jernih
Kualitas pengerjaan: Rapi
Tapi sayang beli dua,yg satu tidak berfungsi normal,di cas gk bisa nambah,headset nya kadang konek kadang enggak,"
[COD] Headset Bluetooth Nirkabel TWS CID17 dengan Mikrofon dan Pengisian Casing Elektronik Audio Headset Wireless Earphone - PINK,3.0,"saya beli 3, dan 1 tidak berfungsi dengan baik (tws sebelah nya tidak ada suara) kedepannya coba untuk di cek terlebih dahulu sebelum lakukan pengiriman trima kasih"
[COD] Headset Bluetooth Nirkabel TWS CID17 dengan Mikrofon dan Pengisian Casing Elektronik Audio Headset Wireless Earphone - PINK,3.0,"Ka ko punyaku kaya gini, terus ganyala si yg kotaknya itu"
[COD] Headset Bluetooth Nirkabel TWS CID17 dengan Mikrofon dan Pengisian Casing Elektronik Audio Headset Wireless Earphone - PINK,2.0,"Alhamdulillah paketnya sudah datang dengan selamat dan amanah,terimakasih dan isi nya sesuai dengan warna yg di request Kualitasnya bagus kurirnya juga ramah... 
Suka pokoknya ga ngecewain 
Aku milih warna biru😻🫶
Kualitas pengerjaan: Bagus"
[COD] Headset Bluetooth Nirkabel TWS CID17 dengan Mikrofon dan Pengisian Casing Elektronik Audio Headset Wireless Earphone - PINK,1.0,"Batre Kosong, Barang sesuai Tidak Normal suara pecah dan pecah dan yang 1 gak aktif (mati)."
[COD] Headset Bluetooth Nirkabel TWS CID17 dengan Mikrofon dan Pengisian Casing Elektronik Audio Headset Wireless Earphone - PINK,1.0,"Bas bagusMantap
Performa: Apik
Kualitas pengerjaan: Apik pol josssss"
[COD] Headset Bluetooth Nirkabel TWS CID17 dengan Mikrofon dan Pengisian Casing Elektronik Audio Headset Wireless Earphone - PINK,1.0,"bisa sih nyambung ke bluetooth, tpi di cassh blm bisa.
kecewa sama socket casnya, miring begitu. saya tau, ini harga murah. tpi kualitas jangan gini banget lahh,
saya beli pake uang juga. beli yg ke 2 kalinya malah mengecewakan begini.
masa beda warna beda kualitas.
udh di coba pake 3 cas msh gk bsa"
[COD] Headset Bluetooth Nirkabel TWS CID17 dengan Mikrofon dan Pengisian Casing Elektronik Audio Headset Wireless Earphone - PINK,1.0,"Barang rusak kaga bisa Hidup,mau di benerin dalam komponen ya udah jamur,batre udah kembung,baru beli lupa di inboxsing,buang duit aja,
Performance: Buruk beli sampa
Lens clarity: Hitung2 kalah judi"
[COD] Headset Bluetooth Nirkabel TWS CID17 dengan Mikrofon dan Pengisian Casing Elektronik Audio Headset Wireless Earphone - PINK,1.0,"kecewa sih, pas di unboxing trus pen sambungin ke hp kok si earphone nya kayak gini?! kayak barang rusak baru Dateng lohh.. kecewa bngt,, buat kalian kalo mau beli ini mending jangan deh barang bekas di kasih ke orang, najis ga amanah bngt, ganti rugi gak!!"
[COD] Headset Bluetooth Nirkabel TWS CID17 dengan Mikrofon dan Pengisian Casing Elektronik Audio Headset Wireless Earphone - PINK,2.0,"Kejernihan lensa: 75%
Kualitas pengerjaan: 75%
Performa: 80%
Barang minus 
Mengecewakan"
